Provinsi;Tahun;Mangga;Durian;Jeruk Siam;Pisang;Pepaya;Salak
Aceh;2021;21782;45915;12319;108643;32041;430
Sumatera Utara;2021;46162;119632;448211;121364;50232;292881
Sumatera Barat;2021;17066;170707;118578;152732;41499;3608
Riau;2021;19737;30114;58787;48901;22470;3202
Jambi;2021;7673;26209;45766;69258;17984;8235
Sumatera Selatan;2021;20324;46309;71678;354143;28500;1764
Bengkulu;2021;6392;18639;22732;22492;7542;2057
Lampung;2021;24609;20394;79981;1123240;87378;7984
Kepulauan Bangka Belitung;2021;2237;6212;1583;6980;2517;1006
Kepulauan Riau;2021;1412;2714;163;2724;1296;5616
DKI Jakarta;2021;9122;223;435;3302;1467;17
Jawa Barat;2021;444073;86785;51554;1649228;124466;20704
Jawa Tengah;2021;457674;159199;22884;804262;142034;432097
DI Yogyakarta;2021;33456;9258;2726;68257;14653;57296
Jawa Timur;2021;1192896;275319;822260;2048948;253700;210587
Banten;2021;22713;29456;975;284683;19840;921
Bali;2021;55166;25743;240636;382536;12554;27080
Nusa Tenggara Barat;2021;131394;40084;5454;118234;22918;105
Nusa Tenggara Timur;2021;87304;3714;56817;256741;103647;2472
Kalimantan Barat;2021;10768;37188;72557;140634;14265;1900
Kalimantan Tengah;2021;2690;8239;9463;44578;6658;1312
Kalimantan Selatan;2021;7298;28825;113194;65485;8493;1416
Kalimantan Timur;2021;5133;13440;11301;130656;24068;7508
Kalimantan Utara;2021;8614;8436;7046;110526;34593;5664
Sulawesi Utara;2021;23199;18327;1172;100298;22324;3064
Sulawesi Tengah;2021;12802;41273;2235;27378;7307;787
Sulawesi Selatan;2021;116175;34070;9315;161550;25571;10856
Sulawesi Tenggara;2021;12405;12886;22220;41610;10503;1050
Gorontalo;2021;1900;4381;23305;6938;1209;9
Sulawesi Barat;2021;10548;14653;18933;77487;5210;84
Maluku;2021;7542;8091;12029;55382;11076;3691
Maluku Utara;2021;6457;4686;2258;22810;2995;3743
Papua Barat;2021;1276;1425;460;113979;1901;966
Papua;2021;7444;491;32035;15167;5355;129
Indonesia;2021;2835442;1353037;2401064;8741147;1168266;1120242
Aceh;2022;34368;56574;25926;107195;41048;1120
Sumatera Utara;2022;45836;109944;400391;186936;31886;295993
Sumatera Barat;2022;20492;304119;173784;260844;37449;2247
Riau;2022;14082;26692;39826;53498;22804;4765
Jambi;2022;6000;20813;83508;50878;13708;4855
Sumatera Selatan;2022;18354;39624;43506;333608;19107;2384
Bengkulu;2022;10084;27745;30232;90153;12858;6689
Lampung;2022;15465;27495;72723;1391437;39461;9740
Kepulauan Bangka Belitung;2022;1806;2269;1100;7001;2875;1289
Kepulauan Riau;2022;894;5217;64;2915;911;2815
DKI Jakarta;2022;5269;340;103;2962;988;14
Jawa Barat;2022;450974;80334;54108;1317500;125507;28455
Jawa Tengah;2022;501919;211898;34947;1084204;121482;718734
DI Yogyakarta;2022;28985;9593;2122;80998;16895;28145
Jawa Timur;2022;1591509;419849;1194489;2625292;249961;199615
Banten;2022;43346;59615;724;293179;15325;1985
Bali;2022;41249;22165;136554;209441;14141;28456
Nusa Tenggara Barat;2022;163485;32108;8935;125590;17195;66
Nusa Tenggara Timur;2022;76567;4383;46440;229275;106914;3150
Kalimantan Barat;2022;8058;22906;130055;134098;16778;1869
Kalimantan Tengah;2022;2400;4479;5735;41303;5560;782
Kalimantan Selatan;2022;4492;8136;115360;74123;5028;479
Kalimantan Timur;2022;3010;8773;7755;127562;13674;35641
Kalimantan Utara;2022;6366;5181;4561;89565;23203;4273
Sulawesi Utara;2022;13071;13592;741;81126;17378;2674
Sulawesi Tengah;2022;13678;63387;2689;17796;6507;781
Sulawesi Selatan;2022;111167;59747;13274;211638;29515;11981
Sulawesi Tenggara;2022;10474;23745;19927;49490;15258;1411
Gorontalo;2022;3746;4593;23452;4689;579;19
Sulawesi Barat;2022;22321;23526;21492;122750;6722;85
Maluku;2022;4723;6020;7031;46399;11064;1170
Maluku Utara;2022;3854;7666;360;7921;1740;1450
Papua Barat;2022;1827;441;344;130374;821;1600
Papua;2022;735;485;15190;5233;2262;145
Indonesia;2022;3280606;1713451;2717447;9596972;1046605;1404878
