Jenis;Kelompok;2019;2020;2021;2022
Aglaonema;Bunga;134778;159673;256590;167887
Anthurium Bunga/Flamingo Lily Flower;Bunga;265679;133815;146984;121646
Cordyline;Bunga;59560;36869;67951;45848
Dracaena;Bunga;279909;205254;277160;213187
Gerbera (Herbras);Bunga;862745;462654;456869;416590
Heliconia (Pisang-pisangan);Bunga;200702;143796;114433;113061
Ixora (Soka);Bunga;98986;73188;99566;66939
Krisan/Chrysantemum;Bunga;10217202;8639633;6294757;5795326
Mawar/Rose;Bunga;4362352;4530549;3515140;6592115
Melati/Jasmine;Bunga;11779405;11450182;12154182;9042073
Pakis/Leather Leaf Fern;Bunga;194762;637833;712495;590173
Palem1/Palm1;Bunga;386276;263175;167220;144130
Phylodendron;Bunga;588136;567119;478736;308906
Sansiviera (Pedang-pedangan)/Sanseviera;Bunga;159252;148310;103008;82276
Sedap Malam/Tuberose;Bunga;3554179;3606781;3317039;9851217
Alpukat/Avocado;Buah;461613;609049;669260;854331
Anggur/Grape;Buah;13723;11905;12164;13522
Apel/Apple;Buah;481373;516531;509544;523738
Belimbing/Star Fruit;Buah;106067;114524;137450;127020
Duku/Langsat/Kokosan;Buah;269337;289598;250355;190327
Durian;Buah;1169802;1133195;1353037;1713451
Jambu Air/Water Apple;Buah;122943;182908;206423;237246
Jambu Biji/Guava;Buah;239405;396268;422491;449966
Jeruk Pamelo/Pomelo;Buah;118969;129568;112797;130451
Jeruk Siam/Keprok/Orange/Tangerine;Buah;2444516;2593384;2401064;2717447
Mangga/Mango;Buah;2808936;2898588;2835442;3280606
Manggis/Mangosteen;Buah;246476;322414;303934;341850
Nenas/Pineapple;Buah;2196456;2447243;2886417;3163027
Nangka/Cempedak/Jackfruit;Buah;779859;824068;906514;797323
Pepaya/Papaya;Buah;986991;1016388;1168266;1046605
Pisang/Banana;Buah;7280659;8182756;8741147;9596972
Rambutan;Buah;764583;681178;884702;840926
Salak/Snakefruit;Buah;955763;1225088;1120242;1404878
Sawo/Sapodilla;Buah;144964;186706;169711;166515
Sirsak/Soursop;Buah;70728;127845;158926;143295
Sukun/Breadfruit;Buah;122481;190551;172373;162524
Melinjo;Buah;238419;255985;292167;261957
Petai/Twisted Cluster Bean;Buah;310100;350638;387691;450788
Karet/Rubber;Perkebunan;2927;2784;2826;2910
Kelapa/Coconut;Perkebunan;2808;2827;2847;2841
Minyak kelapa sawit/Crude palm oil;Perkebunan;14926;15495;15504;15519
Kopi/Coffee;Perkebunan;743;757;781;790
Kakao/Cocoa;Perkebunan;729;717;686;665
Teh/Tea;Perkebunan;50;50;50;51
Jambu mete/Cashew nut;Perkebunan;162;166;166;163
Pala/Nutmeg;Perkebunan;41;38;41;41
Lada/Pepper;Perkebunan;84;82;80;78
Cengkeh/Clove;Perkebunan;139;144;134;132
Gula tebu/Sugar cane;Perkebunan;1269;1192;1379;1252
Tembakau/Tobacco;Perkebunan;270;260;244;225
Nilam/Patchouli;Perkebunan;2;3;3;3
Kayu Bulat;Kayu;47923052;45763754;51515277;53472546
Kayu Gergajian;Kayu;2078551;2529113;1520793;1691946
Kayu Lapis;Kayu;4213557;4157686;3508835;4391103
Bubur Kayu;Kayu;7621636;7806631;8592440;8597583
Serpih Kayu;Kayu;31369033;31284337;37919466;39804558
Veener;Kayu;1180167;1297775;1100464;1440556
