Provinsi;Tahun;Kelapa Sawit;Kelapa;Karet;Kopi;Kakao;Tebu;Teh;Tembakau
Aceh;2021;966;66.4;81;74.4;97.2;0;0;2.7
Sumatera Utara;2021;5264.8;100;321.6;80.9;54.7;6.1;4.2;1.8
Sumatera Barat;2021;1396.8;79.4;137.4;14.1;68.7;0;2.9;0.3
Riau;2021;8961.9;409.7;299.1;2.4;3.7;0;0;0
Jambi;2021;2431.6;115.6;301.1;19.2;2.7;0;2;0.3
Sumatera Selatan;2021;3691.7;58.1;883;211.7;10.1;31.9;1.5;0
Bengkulu;2021;994.6;7.9;97.9;62.9;6.9;0;0.9;0
Lampung;2021;450;81.8;131.4;116.3;78.9;136.2;0;0.6
Kepulauan Bangka Belitung;2021;866.1;4.8;47.8;0;0.7;0;0;0
Kepulauan Riau;2021;15.8;12.9;15.8;0;0;0;0;0
DKI Jakarta;2021;0;0;0;0;0;0;0;0
Jawa Barat;2021;29;88.1;25.3;24.3;5.9;12.1;79.4;9.5
Jawa Tengah;2021;0;170.9;28.5;27.2;6.1;46.8;8.9;53.8
DI Yogyakarta;2021;0;50.5;0;0.5;5;2.8;0.1;0.9
Jawa Timur;2021;0;237.7;19;45.9;40.9;182.3;2.1;106.8
Banten;2021;30.4;43.2;9.4;2;7.6;0;0.1;0
Bali;2021;0;66.8;0;15.6;13.9;0;0;0.4
Nusa Tenggara Barat;2021;0;48.9;0;6.3;7.7;2.1;0;32.7
Nusa Tenggara Timur;2021;0;65.2;0;25.9;63.7;1.5;0;1.3
Kalimantan Barat;2021;5332.4;78.6;252.1;3.1;8.1;0;0;0
Kalimantan Tengah;2021;7280.8;16.6;144.9;0.4;2.9;0;0;0
Kalimantan Selatan;2021;1187.3;23.4;167.5;1;0.4;0;0;0
Kalimantan Timur;2021;3750.6;8;70.1;0.2;7.7;0;0;0
Kalimantan Utara;2021;590.7;0.4;0.2;0.1;2.6;0;0;0
Sulawesi Utara;2021;0;270.5;0;3.7;17.8;0;0;0
Sulawesi Tengah;2021;445.3;201;3.6;3;277.7;0;0;0.1
Sulawesi Selatan;2021;113.6;73.8;2.6;34.2;182.4;13.6;0;2.5
Sulawesi Tenggara;2021;60.9;42.7;0.2;2.8;236.8;4.6;0;0
Gorontalo;2021;14.1;68.3;0;0.1;13.7;9;0;0
Sulawesi Barat;2021;379.1;37.1;0;4.7;143.5;0;0;0
Maluku;2021;20.9;107;0.7;0.4;24;0;0;0
Maluku Utara;2021;0;211.1;0;0;22.3;0;0;0
Papua Barat;2021;118.8;15.9;0;0.1;13.4;0;0;0
Papua;2021;728.3;15.3;5.1;2.8;32.7;0;0;0
Indonesia;2021;45121.5;2877.6;3045.3;786.2;1460.4;449;102.1;213.7
Aceh;2022;944.4;66.5;82.1;75.3;96.6;0;0;2.2
Sumatera Utara;2022;5988.1;102;322.6;87;53.1;8;4.2;1.8
Sumatera Barat;2022;1359.3;79.5;138.3;14;68.6;0;3.7;0.4
Riau;2022;8969.6;408.8;307.3;2.4;3.6;0;0;0
Jambi;2022;2629.5;114.7;317.6;19.5;2.7;0;2;0.3
Sumatera Selatan;2022;4101.8;58;913.4;212.4;10.2;31.1;1.5;0
Bengkulu;2022;1017.1;7.3;103.5;60.1;5.5;0;1;0
Lampung;2022;450.2;79.1;137.3;124.5;76.1;143.2;0;0.5
Kepulauan Bangka Belitung;2022;862.3;4.9;48;0.1;0.7;0;0;0
Kepulauan Riau;2022;16.1;11.7;16;0;0;0;0;0
DKI Jakarta;2022;0;0;0;0;0;0;0;0
Jawa Barat;2022;29.9;86.5;25.7;23.7;5.7;11.6;77.6;9.5
Jawa Tengah;2022;0;170.3;28.7;26.9;5;46.1;8.9;54.2
DI Yogyakarta;2022;0;50.2;0;0.5;4.9;2.8;0.1;0.9
Jawa Timur;2022;0;233.6;18.6;45.8;41;218.2;1.5;95.5
Banten;2022;25.3;43.1;9.7;2;7.6;0;0;0
Bali;2022;0;66.8;0;15.6;13.6;0;0;0.3
Nusa Tenggara Barat;2022;0;50.2;0;6.5;7.7;2.9;0;34.2
Nusa Tenggara Timur;2022;0;66.4;0;26.6;63.3;1.7;0;1.2
Kalimantan Barat;2022;5439.7;79.3;255.8;3.2;6.8;0;0;0
Kalimantan Tengah;2022;7043.2;16.5;154.9;0.2;3;0;0;0
Kalimantan Selatan;2022;1039.7;22.8;170.2;1;0.4;0;0;0
Kalimantan Timur;2022;3420.6;7.2;72.7;0.2;7.8;0;0;0
Kalimantan Utara;2022;644.4;0.4;0.3;0.2;2.6;0;0;0
Sulawesi Utara;2022;0;270.4;0;3.7;17.1;0;0;0
Sulawesi Tengah;2022;229.6;205;3.8;3.1;276.1;0;0;0.2
Sulawesi Selatan;2022;114.3;72.7;3.1;29.4;181.1;13;0;1.3
Sulawesi Tenggara;2022;61.3;42.8;0.2;2.8;236.2;1.2;0;0
Gorontalo;2022;21.9;68.2;0;0.1;13.6;9.1;0;0
Sulawesi Barat;2022;374.6;37.3;0;4.3;142.4;0;0;0
Maluku;2022;17;107.8;0.7;0.4;24;0;0;0
Maluku Utara;2022;16.3;209.5;0;0;22.3;0;0;0
Papua Barat;2022;100.5;16.3;0;0.1;9.7;0;0;0
Papua;2022;664.2;15.3;4.8;3.2;33.4;0;0;0
Indonesia;2022;45580.9;2871.1;3135.3;794.8;1442.4;488.9;100.5;202.5
