Provinsi;Lat;Lng
Aceh;4,695135;96,749397
Sumatera Utara;2,115355;99,545097
Sumatera Barat;-0,73994;100,800003
Riau;0,51667;101,44167
Jambi;-1,609972;103,607254
Sumatera Selatan;-2,91673;104,7458
Bengkulu;3,80044;102,26554
Lampung;-5,42917;105,26111
Kep, Bangka Belitung;-2,12914;106,11377
Kep, Riau;3,945651;108,142867
Dki Jakarta;-6,21462;106,84513
Jawa Barat;-6,92222;107,60694
Jawa Tengah;-6,99306;110,42083
Di Yogyakarta;-7,80139;110,36472
Jawa Timur;-7,24917;112,75083
Banten;-6,12;106,150276
Bali;-8,65;115,216667
Nusa Tenggara Barat;-8,50497;116,525116
Nusa Tenggara Timur;-8,657382;121,079369
Kalimantan Barat;0;109,333336
Kalimantan Tengah;-1,681488;113,382355
Kalimantan Selatan;-2,423779;115,250832
Kalimantan Timur;-1,265815;116,897728
Kalimantan Utara;3,3599;116,532
Sulawesi Utara;0,624963;123,974998
Sulawesi Tengah;-0,038302;120,060753
Sulawesi Selatan;-5,132193;119,488449
Sulawesi Tenggara;-3,75349;121,920593
Gorontalo;0,556174;123,058548
Sulawesi Barat;-1,175216;119,362373
Maluku;-3,654703;128,190643
Maluku Utara;1,571;127,808769
Papua Barat;-0,87956;131,26104
Papua;-2,53371;140,71813
