Provinsi;Tahun;Padi;Beras;Jagung;Kedelai
Aceh;2021;1634640;941688;205125;47910
Sumatera Utara;2021;2004143;1149609;1519407;6549
Sumatera Barat;2021;1317209;762694;602549;353
Riau;2021;217459;124801;30870;2145
Jambi;2021;298149;172472;51712;6732
Sumatera Selatan;2021;2552443;1465754;289007;16818
Bengkulu;2021;271117;156154;52785;5388
Lampung;2021;2485453;1428770;1502800;9815
Kepulauan Bangka Belitung;2021;70496;41785;666;1
Kepulauan Riau;2021;855;489;473;15
DKI Jakarta;2021;3249;1915;0;0
Jawa Barat;2021;9113573;5262925;959933;98938
Jawa Tengah;2021;9618657;5531297;3212391;129794
DI Yogyakarta;2021;556531;316124;299084;18822
Jawa Timur;2021;9789588;5652705;6131163;344998
Banten;2021;1603247;913099;11870;7291
Bali;2021;618911;349038;40603;7259
Nusa Tenggara Barat;2021;1419560;808510;959973;125036
Nusa Tenggara Timur;2021;731878;428683;685081;3615
Kalimantan Barat;2021;711898;421153;103742;2637
Kalimantan Tengah;2021;381190;226431;8189;1262
Kalimantan Selatan;2021;1016314;601330;128505;10537
Kalimantan Timur;2021;244678;142321;8379;1519
Kalimantan Utara;2021;29967;17766;1032;2239
Sulawesi Utara;2021;232885;130866;300490;6685
Sulawesi Tengah;2021;867013;511779;131123;13270
Sulawesi Selatan;2021;5090637;2921193;1528414;67192
Sulawesi Tenggara;2021;530029;304385;68141;12799
Gorontalo;2021;234393;130876;643512;3203
Sulawesi Barat;2021;311072;178657;100811;4218
Maluku;2021;116804;65411;13947;707
Maluku Utara;2021;28051;15697;11728;475
Papua Barat;2021;26927;16179;2264;1439
Papua;2021;286280;163462;6666;3522
Indonesia;2021;54415294;31356017;19612435;963183
Aceh;2022;1533138;883215;214356;50066
Sumatera Utara;2022;2131672;1222762;1587780;6844
Sumatera Barat;2022;1422874;823876;629664;369
Riau;2022;227346;130475;32259;2242
Jambi;2022;289277;167339;54039;7035
Sumatera Selatan;2022;2759343;1584567;302012;17575
Bengkulu;2022;290156;167120;55160;5630
Lampung;2022;2661363;1529892;1570426;10257
Kepulauan Bangka Belitung;2022;62641;37130;696;1
Kepulauan Riau;2022;590;337;494;16
DKI Jakarta;2022;2741;1616;0;0
Jawa Barat;2022;9620534;5555686;1003130;103390
Jawa Tengah;2022;9579069;5508531;3356949;135635
DI Yogyakarta;2022;580686;329844;312543;19669
Jawa Timur;2022;9686760;5593330;6407065;360523
Banten;2022;1776812;1011949;12404;7619
Bali;2022;691819;390155;42430;7586
Nusa Tenggara Barat;2022;1456923;829790;1003172;130663
Nusa Tenggara Timur;2022;776867;455035;715910;3778
Kalimantan Barat;2022;814743;481995;108410;2756
Kalimantan Tengah;2022;353865;210200;8558;1319
Kalimantan Selatan;2022;873130;516612;134288;11011
Kalimantan Timur;2022;232143;135031;8756;1587
Kalimantan Utara;2022;37966;22508;1078;2340
Sulawesi Utara;2022;253479;142438;314012;6986
Sulawesi Tengah;2022;771525;455415;137024;13867
Sulawesi Selatan;2022;5341021;3064872;1597193;70216
Sulawesi Tenggara;2022;494856;284185;71207;13375
Gorontalo;2022;249709;139428;672470;3347
Sulawesi Barat;2022;364683;209447;105347;4408
Maluku;2022;92640;51879;14575;739
Maluku Utara;2022;24705;13825;12256;496
Papua Barat;2022;24032;14439;2366;1504
Papua;2022;191109;109121;6966;3680
Indonesia;2022;55670219;32074045;20494995;1006526
