Provinsi;Tahun;Ayam Kampung;Ayam Petelur;Ayam Pedaging;Itik
Aceh;2021;4275.9;58;34075.6;2180.3
Sumatera Utara;2021;15494.2;33933.5;147044.2;2674.9
Sumatera Barat;2021;4358.1;22717.1;46715.1;1231.7
Riau;2021;6882.3;304.6;81658.8;305.6
Jambi;2021;12140.2;3174.7;44027.9;647.2
Sumatera Selatan;2021;13949.1;13923.9;99833.2;2827.6
Bengkulu;2021;4141.9;617.9;9846.5;195.8
Lampung;2021;13868.4;14827.4;84286;1028.5
Kepulauan Bangka Belitung;2021;1109.4;2024.8;21159.2;111.9
Kepulauan Riau;2021;1233.7;1334.7;16395.3;36.7
DKI Jakarta;2021;0;0;0;17
Jawa Barat;2021;29100.9;49568.4;640432.5;11518.9
Jawa Tengah;2021;38567.5;55109.3;563855.2;6237.5
DI Yogyakarta;2021;3463.9;9719.4;50039.1;523.6
Jawa Timur;2021;36998.1;110527.1;393387.6;8020.1
Banten;2021;7622.5;17606.3;170608.7;1998.3
Bali;2021;2855.5;14347.9;68720.6;528.9
Nusa Tenggara Barat;2021;9201.3;3444.2;34124.3;778.9
Nusa Tenggara Timur;2021;9627.7;391.7;13528.4;283.6
Kalimantan Barat;2021;6167.6;4004.7;49533.6;550.8
Kalimantan Tengah;2021;2880.3;628.8;31199;370.3
Kalimantan Selatan;2021;11945;6302.7;92779.2;4111.7
Kalimantan Timur;2021;4816;2263.8;55877.9;325.4
Kalimantan Utara;2021;1166.3;165.7;3924.6;35.3
Sulawesi Utara;2021;2732.9;2494;10679.4;217.4
Sulawesi Tengah;2021;5017.4;1312.7;8318.7;1401.8
Sulawesi Selatan;2021;30903.3;13237.8;92909.4;6563
Sulawesi Tenggara;2021;11572.8;159.9;8012.3;655
Gorontalo;2021;2398.6;204.3;5563.5;82.8
Sulawesi Barat;2021;4655.1;12.3;3853.2;400.7
Maluku;2021;2562.9;94.8;528.5;305.8
Maluku Utara;2021;770.8;2.8;83.9;122.7
Papua Barat;2021;1109;563;926.6;93.3
Papua;2021;2803;1047.5;5280;187
Indonesia;2021;306391.6;386125.7;2889208;56570
Aceh;2022;4361.5;95.7;42624;2223.9
Sumatera Utara;2022;15929.7;39769.9;162495.1;2742.5
Sumatera Barat;2022;4479.6;26485.7;36835.8;1250.8
Riau;2022;7019.9;161.9;87783.7;311.7
Jambi;2022;12799.9;4698.3;42429.9;651.6
Sumatera Selatan;2022;14183.1;15621;104071.4;2898.3
Bengkulu;2022;5042;563;12066.5;213.1
Lampung;2022;14145;14501.1;103657.5;1094.2
Kepulauan Bangka Belitung;2022;1128.1;1546.7;26586.7;111.5
Kepulauan Riau;2022;1244.2;1421.3;20341.6;36.8
DKI Jakarta;2022;0;0;0;17.3
Jawa Barat;2022;28850.9;47568.1;617566.8;11371.2
Jawa Tengah;2022;39558.2;56296.2;625111.2;7070.2
DI Yogyakarta;2022;3466.5;11447;63702.4;524.4
Jawa Timur;2022;37353.4;89378.6;493647.8;8275.5
Banten;2022;7622.5;21666.1;164830.2;2026.9
Bali;2022;2941.2;12028.7;72373.6;545.7
Nusa Tenggara Barat;2022;9357.7;2731.1;31116.5;778.9
Nusa Tenggara Timur;2022;10191.3;426.2;9962.7;304.5
Kalimantan Barat;2022;6204.6;4777;48222.1;552.1
Kalimantan Tengah;2022;2952.3;207.5;40055.7;374
Kalimantan Selatan;2022;12713.6;7217.3;132556.6;4173.7
Kalimantan Timur;2022;4960.5;1975.9;72283.2;335.2
Kalimantan Utara;2022;1288.3;69;2757.4;37.6
Sulawesi Utara;2022;2790.9;2092.2;11730.5;225.7
Sulawesi Tengah;2022;5710.8;898.4;9183.3;1491.8
Sulawesi Selatan;2022;30996.1;12803.6;111360.8;6951.6
Sulawesi Tenggara;2022;12168.6;99.3;8581.2;678.3
Gorontalo;2022;2419.4;147.2;5216.8;83.9
Sulawesi Barat;2022;4674.3;36.8;4785.2;231.6
Maluku;2022;2642;115;303.3;349
Maluku Utara;2022;777;10.9;53.6;130.1
Papua Barat;2022;1122.4;656.2;749.2;95.2
Papua;2022;3005.8;1077.6;3282.9;192.7
Indonesia;2022;314101.3;378590.5;3168325.2;58351.5
